#sjh_ID, date, SOL_event, duration, basepoint_X, std_X, basepoint_Y, std_Y, basepoint_X_longitude, basepoint_Y_latitude, max_height, upper_H, lower_H, avg_width, std_width, velocity, sigma, flag
sjh_2011-03-20T08_2,2011-03-20T08:14:08.000000,SOL2011-03-20T00:00:04L223C126,14.0,-873.267,0.0,-415.082,0.0,-93.0,-25.0,217.64809843644392,87.54078399365645,-62.43046935439627,88.06304102175906,0.0,nan,0.49140470699289557,011
sjh_2011-03-20T08_3,2011-03-20T08:40:08.000000,SOL2011-03-20T00:00:04L223C126,14.0,-882.12,0.0,-410.286,0.0,-93.0,-24.0,91.7398601481384,33.3110219619606,-24.43764045975524,28.570054410168638,0.0,nan,0.46180131996887464,011
sjh_2011-03-20T08_4,2011-03-20T08:53:08.000000,SOL2011-03-20T00:00:04L223C126,14.0,-882.566,0.0,-401.147,0.0,-93.0,-24.0,219.55809947483155,103.57135661773846,-70.37405532136371,105.59304830338023,0.0,nan,0.538314934337866,011
sjh_2011-03-20T09_1,2011-03-20T09:06:07.000000,SOL2011-03-20T00:00:04L223C126,14.016666666666667,-880.35,0.0,-429.221,0.0,-93.0,-25.0,297.1599933924485,112.67808267122655,-81.69913987409336,144.51809026208446,0.0,nan,0.47427809639414825,011
sjh_2011-03-20T09_2,2011-03-20T09:19:08.000000,SOL2011-03-20T00:00:04L223C126,14.0,-920.96,0.0,-319.936,0.0,-92.0,-19.0,149.66954087255016,60.63920201610022,-43.15484653642207,187.36307476394597,0.0,nan,0.4935317815459383,011
sjh_2011-03-20T09_3,2011-03-20T09:19:08.000000,SOL2011-03-20T00:00:04L223C126,14.0,-869.52,0.0,-430.223,0.0,-93.0,-26.0,411.46397546929916,192.13130283274248,-130.97370459564223,150.39549520181782,0.0,nan,0.5353007537390004,011
sjh_2011-03-20T09_4,2011-03-20T09:45:08.000000,SOL2011-03-20T00:00:04L223C126,14.0,-851.525,0.0,-463.687,0.0,-93.0,-28.0,174.59907796434672,75.34526376194536,-52.63257207967584,76.2740349332589,0.0,nan,0.5120253371519271,011
sjh_2011-03-20T09_5,2011-03-20T09:58:08.000000,SOL2011-03-20T00:00:04L223C126,14.0,-840.779,0.0,-497.777,0.0,-93.0,-30.0,167.97316176103843,56.78347364854839,-42.43745501501859,51.09360587196794,0.0,nan,0.4414593966614202,011
sjh_2011-03-20T10_1,2011-03-20T10:11:08.000000,SOL2011-03-20T00:00:04L223C126,14.0,-839.459,0.0,-495.56,0.0,-93.0,-30.0,173.58328415201737,54.54142833598967,-41.50133560563166,55.05455203704774,0.0,nan,0.4210099067924106,011
sjh_2011-03-20T10_2,2011-03-20T10:24:08.000000,SOL2011-03-20T00:00:04L223C126,14.0,-832.31,0.0,-508.98,0.0,-94.0,-31.0,118.34087532209662,36.29267173853865,-27.774739847570597,45.89319984485715,0.0,nan,0.414317674294744,011
sjh_2011-03-20T11_1,2011-03-20T11:29:08.000000,SOL2011-03-20T00:00:04L223C126,14.0,-843.654,0.0,-487.341,0.0,-93.0,-29.0,129.5840583752492,52.84906111476738,-37.539213492141755,48.2090219461046,0.0,nan,0.4954597874529877,011
sjh_2011-03-20T12_1,2011-03-20T12:47:08.000000,SOL2011-03-20T00:00:04L223C126,14.0,-884.141,0.0,-404.161,0.0,-93.0,-24.0,87.68849701642746,37.4300357899732,-26.2325932703546,28.398354353729676,0.0,nan,0.5088185389676424,011
sjh_2011-03-20T12_2,2011-03-20T12:47:08.000000,SOL2011-03-20T00:00:04L223C126,14.0,-862.77,0.0,-443.08,0.0,-93.0,-26.0,93.90404217604261,39.09279821804299,-27.6019472475369,21.263009406008393,0.0,nan,0.501476164907041,011
sjh_2011-03-20T13_1,2011-03-20T13:00:08.000000,SOL2011-03-20T00:00:04L223C126,14.0,-863.792,0.0,-443.522,0.0,-93.0,-26.0,156.88207075698608,66.45517514063413,-46.681087369368214,69.97403207619232,0.0,nan,0.5065714052991637,011
sjh_2011-03-20T15_1,2011-03-20T15:49:08.000000,SOL2011-03-20T00:00:04L223C126,14.0,-894.42,0.0,-397.97,0.0,-92.0,-23.0,220.43233550457148,56.77242012790029,-45.14524699436233,37.009486905386844,0.0,nan,0.367662044216113,011
sjh_2011-03-20T15_2,2011-03-20T15:49:08.000000,SOL2011-03-20T00:00:04L223C126,14.0,-699.087,0.0,-687.618,0.0,-96.0,-44.0,220.32109352034354,79.36557191628046,-58.34730606711043,164.00407136714628,0.0,nan,0.4595228746088925,011
sjh_2011-03-20T16_1,2011-03-20T16:54:08.000000,SOL2011-03-20T00:00:04L223C126,14.0,-896.04,0.0,-375.551,0.0,-92.0,-22.0,51.05002351615523,15.732634631976069,-12.026346213293486,24.15401095056471,0.0,nan,0.415661514755778,011
sjh_2011-03-20T17_1,2011-03-20T17:33:08.000000,SOL2011-03-20T00:00:04L223C126,14.0,-920.646,0.0,-325.727,0.0,-92.0,-19.0,150.41056319953063,75.18555226683269,-50.128085040578554,61.85014672577576,0.0,nan,0.5554778150694517,011
sjh_2011-03-20T17_2,2011-03-20T17:59:08.000000,SOL2011-03-20T00:00:04L223C126,14.0,-920.174,0.0,-328.942,0.0,-92.0,-19.0,132.2229767929917,63.9458301746992,-43.10118489220574,52.77790504557758,0.0,nan,0.5456882606444949,011
sjh_2011-03-20T18_1,2011-03-20T18:25:08.000000,SOL2011-03-20T00:00:04L223C126,14.0,-907.484,0.0,-350.065,0.0,-92.0,-20.0,86.90078391476112,58.80569258031688,-35.07229676268102,91.71301091993445,0.0,nan,0.6442952406866357,011
sjh_2011-03-20T18_2,2011-03-20T18:38:08.000000,SOL2011-03-20T00:00:04L223C126,14.0,-911.626,0.0,-347.068,0.0,-92.0,-20.0,120.90705374377458,36.87607786427444,-28.257633644077064,72.27503293669258,0.0,nan,0.41280529068310634,011
sjh_2011-04-01T03_1,2011-04-01T03:52:08.000000,SOL2011-04-01T03:00:11L222C115,31.8,697.2105,2.455891810184901,-235.41783333333333,3.3693588616959276,49.0,-18.0,404.9612522563116,101.64802592052861,-81.25297668115446,60.79631725395752,5.680812517250168,0.2576089390943458,0.49559178207396615,000
sjh_2011-04-08T02_1,2011-04-08T02:57:20.000000,SOL2011-04-07T23:50:00L037C115,10.8,-275.873,0.3480000000000132,-210.199,1.4210000000000065,-17.0,-18.0,98.63379034083603,29.26098358513479,-22.56637727647411,39.798394880296435,7.651626457949547,0.31613394340011547,0.48531116893567827,000
sjh_2011-04-08T05_1,2011-04-08T05:48:56.000000,SOL2011-04-07T23:50:00L037C115,5.6,-344.701,0.0,-308.237,0.0,-23.0,-24.0,60.00417705460177,29.401643609662433,-19.73273569598415,31.045894060245665,0.0,nan,0.5495657770443771,110
sjh_2011-04-08T08_1,2011-04-08T08:30:08.000000,SOL2011-04-07T23:50:00L037C115,5.6,-310.201,0.0,-298.181,0.0,-20.0,-23.0,82.00412065865957,33.65727878760015,-23.863065499418486,21.3606670307835,0.0,nan,0.4973166895991482,110
sjh_2011-04-08T11_1,2011-04-08T11:21:44.000000,SOL2011-04-07T23:50:00L037C115,10.8,-294.3345,4.1614999999999895,-300.98199999999997,1.467000000000013,-19.0,-24.0,89.54604034238476,54.00510920107579,-33.68794818149702,38.95290802336007,11.267114915702827,0.2870065395589255,0.5787419200646711,000
sjh_2011-04-08T16_1,2011-04-08T16:07:44.000000,SOL2011-04-07T23:50:00L037C115,16.0,-255.27633333333333,5.031811624278301,-300.4936666666667,3.462608490077308,-16.0,-24.0,80.3606277974482,32.167881883311196,-22.97223335126999,23.942316741769815,5.629453914022478,0.12878305736770546,0.5110209558254583,000
sjh_2011-04-08T16_2,2011-04-08T16:49:20.000000,SOL2011-04-07T23:50:00L037C115,5.6,-249.325,0.0,-299.085,0.0,-16.0,-23.0,47.72998341713519,14.683519836061025,-11.229046948978594,12.96144995747004,0.0,nan,0.4151756500499374,110
sjh_2011-04-08T17_1,2011-04-08T17:56:56.000000,SOL2011-04-07T23:50:00L037C115,10.8,-246.61700000000002,1.6460000000000008,-300.66499999999996,0.5229999999999961,-16.0,-24.0,73.45450598840071,38.347144986116234,-25.194355955108165,25.9359383351662,7.022964877774578,0.23543110893718178,0.507846475969616,000
